Computed_Block_Hash,Previous_Block_Hash,Next_Block_Hash,Merkle_Root,Timestamp,Nonce,BlockReward,Transaction_Hash,Input_Addresses,Transaction_Hash_of_Inputs,Input_Amount,Output_Addresses,Output_Amount
000000000019d6689c085ae165831e934ff763ae46a2a6c172b3f1b60a8ce26f,0000000000000000000000000000000000000000000000000000000000000000,00000000839a8e6886ab5951d76f411475428afc90947ee320161bbf18eb6048,4a5e1e4baab89f3a32518a88c31bc87f618f76673e2cc77ab2127b7afdeda33b,01/03/2009 18:15:05,2083236893,50.000000,4a5e1e4baab89f3a32518a88c31bc87f618f76673e2cc77ab2127b7afdeda33b,,0000000000000000000000000000000000000000000000000000000000000000 ,,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa ,50.000000 
00000000839a8e6886ab5951d76f411475428afc90947ee320161bbf18eb6048,000000000019d6689c085ae165831e934ff763ae46a2a6c172b3f1b60a8ce26f,000000006a625f06636b8bb6ac7b960a8d03705d1ace08b1a19da3fdcc99ddbd,0e3e2357e806b6cdb1f70b54c3a3a17b6714ee1f0e68bebb44a74b1efd512098,01/09/2009 02:54:25,2573394689,50.000000,0e3e2357e806b6cdb1f70b54c3a3a17b6714ee1f0e68bebb44a74b1efd512098,,0000000000000000000000000000000000000000000000000000000000000000 ,,12c6DSiU4Rq3P4ZxziKxzrL5LmMBrzjrJX ,50.000000 
000000006a625f06636b8bb6ac7b960a8d03705d1ace08b1a19da3fdcc99ddbd,00000000839a8e6886ab5951d76f411475428afc90947ee320161bbf18eb6048,0000000082b5015589a3fdf2d4baff403e6f0be035a5d9742c1cae6295464449,9b0fc92260312ce44e74ef369f5c66bbb85848f2eddd5a7a1cde251e54ccfdd5,01/09/2009 02:55:44,1639830024,50.000000,9b0fc92260312ce44e74ef369f5c66bbb85848f2eddd5a7a1cde251e54ccfdd5,,0000000000000000000000000000000000000000000000000000000000000000 ,,1HLoD9E4SDFFPDiYfNYnkBLQ85Y51J3Zb1 ,50.000000 
0000000082b5015589a3fdf2d4baff403e6f0be035a5d9742c1cae6295464449,000000006a625f06636b8bb6ac7b960a8d03705d1ace08b1a19da3fdcc99ddbd,000000004ebadb55ee9096c9a2f8880e09da59c0d68b1c228da88e48844a1485,999e1c837c76a1b7fbb7e57baf87b309960f5ffefbf2a9b95dd890602272f644,01/09/2009 03:02:53,1844305925,50.000000,999e1c837c76a1b7fbb7e57baf87b309960f5ffefbf2a9b95dd890602272f644,,0000000000000000000000000000000000000000000000000000000000000000 ,,1FvzCLoTPGANNjWoUo6jUGuAG3wg1w4YjR ,50.000000 
000000004ebadb55ee9096c9a2f8880e09da59c0d68b1c228da88e48844a1485,0000000082b5015589a3fdf2d4baff403e6f0be035a5d9742c1cae6295464449,000000009b7262315dbf071787ad3656097b892abffd1f95a1a022f896f533fc,df2b060fa2e5e9c8ed5eaf6a45c13753ec8c63282b2688322eba40cd98ea067a,01/09/2009 03:16:28,2850094635,50.000000,df2b060fa2e5e9c8ed5eaf6a45c13753ec8c63282b2688322eba40cd98ea067a,,0000000000000000000000000000000000000000000000000000000000000000 ,,15ubicBBWFnvoZLT7GiU2qxjRaKJPdkDMG ,50.000000 
000000009b7262315dbf071787ad3656097b892abffd1f95a1a022f896f533fc,000000004ebadb55ee9096c9a2f8880e09da59c0d68b1c228da88e48844a1485,000000003031a0e73735690c5a1ff2a4be82553b2a12b776fbd3a215dc8f778d,63522845d294ee9b0188ae5cac91bf389a0c3723f084ca1025e7d9cdfe481ce1,01/09/2009 03:23:48,2011431709,50.000000,63522845d294ee9b0188ae5cac91bf389a0c3723f084ca1025e7d9cdfe481ce1,,0000000000000000000000000000000000000000000000000000000000000000 ,,1JfbZRwdDHKZmuiZgYArJZhcuuzuw2HuMu ,50.000000 
000000003031a0e73735690c5a1ff2a4be82553b2a12b776fbd3a215dc8f778d,000000009b7262315dbf071787ad3656097b892abffd1f95a1a022f896f533fc,0000000071966c2b1d065fd446b1e485b2c9d9594acd2007ccbd5441cfc89444,20251a76e64e920e58291a30d4b212939aae976baca40e70818ceaa596fb9d37,01/09/2009 03:29:49,2538380312,50.000000,20251a76e64e920e58291a30d4b212939aae976baca40e70818ceaa596fb9d37,,0000000000000000000000000000000000000000000000000000000000000000 ,,1GkQmKAmHtNfnD3LHhTkewJxKHVSta4m2a ,50.000000 
0000000071966c2b1d065fd446b1e485b2c9d9594acd2007ccbd5441cfc89444,000000003031a0e73735690c5a1ff2a4be82553b2a12b776fbd3a215dc8f778d,00000000408c48f847aa786c2268fc3e6ec2af68e8468a34a28c61b7f1de0dc6,8aa673bc752f2851fd645d6a0a92917e967083007d9c1684f9423b100540673f,01/09/2009 03:39:29,2258412857,50.000000,8aa673bc752f2851fd645d6a0a92917e967083007d9c1684f9423b100540673f,,0000000000000000000000000000000000000000000000000000000000000000 ,,16LoW7y83wtawMg5XmT4M3Q7EdjjUmenjM ,50.000000 
00000000408c48f847aa786c2268fc3e6ec2af68e8468a34a28c61b7f1de0dc6,0000000071966c2b1d065fd446b1e485b2c9d9594acd2007ccbd5441cfc89444,000000008d9dc510f23c2657fc4f67bea30078cc05a90eb89e84cc475c080805,a6f7f1c0dad0f2eb6b13c4f33de664b1b0e9f22efad5994a6d5b6086d85e85e3,01/09/2009 03:45:43,1716931356,50.000000,a6f7f1c0dad0f2eb6b13c4f33de664b1b0e9f22efad5994a6d5b6086d85e85e3,,0000000000000000000000000000000000000000000000000000000000000000 ,,1J6PYEzr4CUoGbnXrELyHszoTSz3wCsCaj ,50.000000 
000000008d9dc510f23c2657fc4f67bea30078cc05a90eb89e84cc475c080805,00000000408c48f847aa786c2268fc3e6ec2af68e8468a34a28c61b7f1de0dc6,000000002c05cc2e78923c34df87fd108b22221ac6076c18f3ade378a4d915e9,0437cd7f8525ceed2324359c2d0ba26006d92d856a9c20fa0241106ee5a597c9,01/09/2009 03:54:39,1397702696,50.000000,0437cd7f8525ceed2324359c2d0ba26006d92d856a9c20fa0241106ee5a597c9,,0000000000000000000000000000000000000000000000000000000000000000 ,,12cbQLTFMXRnSzktFkuoG3eHoMeFtpTu3S ,50.000000 
